Feb14-04:12:52
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 1.13s | train acc: 1.530e-01 | val acc: 2.880e-01 | val graph: 2.180e-01 | test node: 2.899e-01 | test graph: 2.160e-01
101 | 0.46s | train acc: 1.491e-01 | val acc: 1.556e-01 | val graph: 1.100e-01 | test node: 1.526e-01 | test graph: 1.070e-01
201 | 0.47s | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
301 | 0.46s | train acc: 1.671e-01 | val acc: 2.839e-01 | val graph: 1.700e-01 | test node: 2.914e-01 | test graph: 1.730e-01
401 | 0.50s | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
501 | 0.48s | train acc: 1.298e-01 | val acc: 1.033e-01 | val graph: 6.800e-02 | test node: 1.019e-01 | test graph: 6.100e-02
601 | 0.45s | train acc: 4.486e-01 | val acc: 2.900e-01 | val graph: 1.620e-01 | test node: 2.568e-01 | test graph: 1.540e-01
701 | 0.47s | train acc: 7.147e-01 | val acc: 5.984e-01 | val graph: 3.720e-01 | test node: 5.728e-01 | test graph: 3.780e-01
801 | 0.45s | train acc: 7.956e-01 | val acc: 6.499e-01 | val graph: 4.160e-01 | test node: 6.420e-01 | test graph: 4.320e-01
901 | 0.46s | train acc: 8.175e-01 | val acc: 6.944e-01 | val graph: 4.720e-01 | test node: 6.819e-01 | test graph: 4.680e-01
1001 | 0.47s | train acc: 8.239e-01 | val acc: 6.883e-01 | val graph: 4.560e-01 | test node: 6.755e-01 | test graph: 4.520e-01
1101 | 0.46s | train acc: 8.316e-01 | val acc: 7.459e-01 | val graph: 5.160e-01 | test node: 7.345e-01 | test graph: 5.150e-01
1201 | 0.45s | train acc: 8.432e-01 | val acc: 6.940e-01 | val graph: 4.660e-01 | test node: 6.764e-01 | test graph: 4.440e-01
1301 | 0.49s | train acc: 9.319e-01 | val acc: 7.717e-01 | val graph: 5.280e-01 | test node: 7.638e-01 | test graph: 5.260e-01
1401 | 0.48s | train acc: 9.280e-01 | val acc: 7.680e-01 | val graph: 5.080e-01 | test node: 7.640e-01 | test graph: 5.280e-01
1501 | 0.45s | train acc: 9.396e-01 | val acc: 7.508e-01 | val graph: 4.900e-01 | test node: 7.428e-01 | test graph: 4.940e-01
1601 | 0.46s | train acc: 9.499e-01 | val acc: 8.015e-01 | val graph: 5.480e-01 | test node: 7.986e-01 | test graph: 5.650e-01
1701 | 0.46s | train acc: 9.653e-01 | val acc: 8.182e-01 | val graph: 5.620e-01 | test node: 8.052e-01 | test graph: 5.660e-01
1801 | 0.45s | train acc: 9.653e-01 | val acc: 8.088e-01 | val graph: 5.380e-01 | test node: 8.101e-01 | test graph: 5.640e-01
1901 | 0.46s | train acc: 9.704e-01 | val acc: 8.141e-01 | val graph: 5.620e-01 | test node: 8.126e-01 | test graph: 5.740e-01
2001 | 0.46s | train acc: 9.781e-01 | val acc: 8.248e-01 | val graph: 5.560e-01 | test node: 8.226e-01 | test graph: 5.800e-01
2101 | 0.46s | train acc: 9.820e-01 | val acc: 8.182e-01 | val graph: 5.640e-01 | test node: 8.115e-01 | test graph: 5.660e-01
2201 | 0.45s | train acc: 9.871e-01 | val acc: 8.264e-01 | val graph: 5.520e-01 | test node: 8.243e-01 | test graph: 5.700e-01
2301 | 0.46s | train acc: 9.859e-01 | val acc: 8.166e-01 | val graph: 5.580e-01 | test node: 8.092e-01 | test graph: 5.680e-01
2401 | 0.45s | train acc: 9.897e-01 | val acc: 8.252e-01 | val graph: 5.620e-01 | test node: 8.224e-01 | test graph: 5.690e-01
2501 | 0.46s | train acc: 9.936e-01 | val acc: 8.051e-01 | val graph: 5.340e-01 | test node: 8.041e-01 | test graph: 5.430e-01
2601 | 0.46s | train acc: 9.884e-01 | val acc: 8.268e-01 | val graph: 5.760e-01 | test node: 8.268e-01 | test graph: 5.760e-01
2701 | 0.45s | train acc: 9.923e-01 | val acc: 8.219e-01 | val graph: 5.600e-01 | test node: 8.211e-01 | test graph: 5.650e-01
2801 | 0.46s | train acc: 9.974e-01 | val acc: 8.272e-01 | val graph: 5.660e-01 | test node: 8.228e-01 | test graph: 5.710e-01
2901 | 0.46s | train acc: 1.000e+00 | val acc: 8.072e-01 | val graph: 5.260e-01 | test node: 8.039e-01 | test graph: 5.520e-01
3001 | 0.45s | train acc: 1.000e+00 | val acc: 8.211e-01 | val graph: 5.520e-01 | test node: 8.177e-01 | test graph: 5.640e-01
3101 | 0.45s | train acc: 1.000e+00 | val acc: 8.243e-01 | val graph: 5.720e-01 | test node: 8.302e-01 | test graph: 5.840e-01
3201 | 0.46s | train acc: 1.000e+00 | val acc: 8.288e-01 | val graph: 5.620e-01 | test node: 8.219e-01 | test graph: 5.700e-01
3301 | 0.46s | train acc: 1.000e+00 | val acc: 8.284e-01 | val graph: 5.520e-01 | test node: 8.207e-01 | test graph: 5.750e-01
3401 | 0.45s | train acc: 1.000e+00 | val acc: 8.162e-01 | val graph: 5.500e-01 | test node: 8.200e-01 | test graph: 5.650e-01
3501 | 0.46s | train acc: 1.000e+00 | val acc: 8.194e-01 | val graph: 5.440e-01 | test node: 8.154e-01 | test graph: 5.610e-01
3601 | 0.45s | train acc: 1.000e+00 | val acc: 8.211e-01 | val graph: 5.760e-01 | test node: 8.247e-01 | test graph: 5.610e-01
3701 | 0.45s | train acc: 1.000e+00 | val acc: 7.876e-01 | val graph: 5.340e-01 | test node: 7.833e-01 | test graph: 5.190e-01
3801 | 0.47s | train acc: 1.000e+00 | val acc: 8.158e-01 | val graph: 5.580e-01 | test node: 8.141e-01 | test graph: 5.640e-01
3901 | 0.45s | train acc: 1.000e+00 | val acc: 8.182e-01 | val graph: 5.720e-01 | test node: 8.164e-01 | test graph: 5.720e-01
4001 | 0.46s | train acc: 1.000e+00 | val acc: 8.313e-01 | val graph: 5.880e-01 | test node: 8.234e-01 | test graph: 5.940e-01
4101 | 0.46s | train acc: 1.000e+00 | val acc: 8.325e-01 | val graph: 5.880e-01 | test node: 8.251e-01 | test graph: 5.830e-01
4201 | 0.46s | train acc: 1.000e+00 | val acc: 8.280e-01 | val graph: 5.700e-01 | test node: 8.315e-01 | test graph: 5.870e-01
4301 | 0.45s | train acc: 1.000e+00 | val acc: 8.100e-01 | val graph: 5.420e-01 | test node: 8.007e-01 | test graph: 5.500e-01
4401 | 0.45s | train acc: 1.000e+00 | val acc: 8.170e-01 | val graph: 5.680e-01 | test node: 8.154e-01 | test graph: 5.730e-01
4501 | 0.46s | train acc: 1.000e+00 | val acc: 8.194e-01 | val graph: 5.640e-01 | test node: 8.115e-01 | test graph: 5.500e-01
4601 | 0.46s | train acc: 1.000e+00 | val acc: 8.235e-01 | val graph: 5.660e-01 | test node: 8.232e-01 | test graph: 5.740e-01
4701 | 0.45s | train acc: 1.000e+00 | val acc: 8.076e-01 | val graph: 5.640e-01 | test node: 8.050e-01 | test graph: 5.470e-01
4801 | 0.49s | train acc: 1.000e+00 | val acc: 8.235e-01 | val graph: 5.760e-01 | test node: 8.262e-01 | test graph: 5.790e-01
4901 | 0.47s | train acc: 1.000e+00 | val acc: 8.121e-01 | val graph: 5.460e-01 | test node: 8.101e-01 | test graph: 5.510e-01
5001 | 0.46s | train acc: 1.000e+00 | val acc: 8.154e-01 | val graph: 5.360e-01 | test node: 8.164e-01 | test graph: 5.670e-01
5101 | 0.46s | train acc: 1.000e+00 | val acc: 8.243e-01 | val graph: 5.700e-01 | test node: 8.281e-01 | test graph: 5.820e-01
5201 | 0.46s | train acc: 1.000e+00 | val acc: 8.243e-01 | val graph: 5.660e-01 | test node: 8.289e-01 | test graph: 5.720e-01
5301 | 0.46s | train acc: 1.000e+00 | val acc: 8.260e-01 | val graph: 5.720e-01 | test node: 8.224e-01 | test graph: 5.760e-01
5401 | 0.46s | train acc: 1.000e+00 | val acc: 8.199e-01 | val graph: 5.680e-01 | test node: 8.141e-01 | test graph: 5.500e-01
