Feb14-04:16:04
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
4201 | 0.25s | train acc: 1.000e+00 | val acc: 8.252e-01 | val graph: 5.600e-01 | test node: 8.213e-01 | test graph: 5.670e-01
4301 | 0.24s | train acc: 1.000e+00 | val acc: 8.199e-01 | val graph: 5.520e-01 | test node: 8.158e-01 | test graph: 5.640e-01
4401 | 0.25s | train acc: 1.000e+00 | val acc: 8.211e-01 | val graph: 5.480e-01 | test node: 8.230e-01 | test graph: 5.690e-01
4501 | 0.25s | train acc: 1.000e+00 | val acc: 8.137e-01 | val graph: 5.340e-01 | test node: 8.171e-01 | test graph: 5.560e-01
4601 | 0.25s | train acc: 1.000e+00 | val acc: 8.166e-01 | val graph: 5.560e-01 | test node: 8.239e-01 | test graph: 5.620e-01
4701 | 0.26s | train acc: 1.000e+00 | val acc: 8.292e-01 | val graph: 5.740e-01 | test node: 8.239e-01 | test graph: 5.720e-01
4801 | 0.25s | train acc: 1.000e+00 | val acc: 8.276e-01 | val graph: 5.680e-01 | test node: 8.219e-01 | test graph: 5.720e-01
4901 | 0.25s | train acc: 1.000e+00 | val acc: 8.072e-01 | val graph: 5.440e-01 | test node: 8.033e-01 | test graph: 5.430e-01
5001 | 0.25s | train acc: 1.000e+00 | val acc: 8.182e-01 | val graph: 5.540e-01 | test node: 8.169e-01 | test graph: 5.590e-01
5101 | 0.25s | train acc: 1.000e+00 | val acc: 8.105e-01 | val graph: 5.560e-01 | test node: 8.156e-01 | test graph: 5.490e-01
5201 | 0.25s | train acc: 1.000e+00 | val acc: 8.141e-01 | val graph: 5.440e-01 | test node: 8.139e-01 | test graph: 5.480e-01
5301 | 0.25s | train acc: 1.000e+00 | val acc: 8.137e-01 | val graph: 5.460e-01 | test node: 8.158e-01 | test graph: 5.550e-01
5401 | 0.25s | train acc: 1.000e+00 | val acc: 8.125e-01 | val graph: 5.500e-01 | test node: 8.098e-01 | test graph: 5.520e-01
5501 | 0.26s | train acc: 1.000e+00 | val acc: 8.215e-01 | val graph: 5.580e-01 | test node: 8.149e-01 | test graph: 5.520e-01
5601 | 0.26s | train acc: 1.000e+00 | val acc: 8.182e-01 | val graph: 5.500e-01 | test node: 8.166e-01 | test graph: 5.600e-01
5701 | 0.25s | train acc: 1.000e+00 | val acc: 8.186e-01 | val graph: 5.580e-01 | test node: 8.166e-01 | test graph: 5.590e-01
5801 | 0.25s | train acc: 1.000e+00 | val acc: 8.239e-01 | val graph: 5.560e-01 | test node: 8.222e-01 | test graph: 5.730e-01
5901 | 0.25s | train acc: 1.000e+00 | val acc: 8.203e-01 | val graph: 5.560e-01 | test node: 8.194e-01 | test graph: 5.640e-01
6001 | 0.24s | train acc: 1.000e+00 | val acc: 8.072e-01 | val graph: 5.260e-01 | test node: 8.139e-01 | test graph: 5.480e-01
6101 | 0.26s | train acc: 1.000e+00 | val acc: 7.998e-01 | val graph: 5.320e-01 | test node: 7.963e-01 | test graph: 5.460e-01
6201 | 0.26s | train acc: 1.000e+00 | val acc: 8.170e-01 | val graph: 5.540e-01 | test node: 8.113e-01 | test graph: 5.520e-01
6301 | 0.25s | train acc: 1.000e+00 | val acc: 8.194e-01 | val graph: 5.520e-01 | test node: 8.219e-01 | test graph: 5.630e-01
6401 | 0.26s | train acc: 1.000e+00 | val acc: 8.105e-01 | val graph: 5.420e-01 | test node: 8.094e-01 | test graph: 5.470e-01
6501 | 0.25s | train acc: 1.000e+00 | val acc: 8.121e-01 | val graph: 5.420e-01 | test node: 8.128e-01 | test graph: 5.540e-01
6601 | 0.25s | train acc: 1.000e+00 | val acc: 8.076e-01 | val graph: 5.360e-01 | test node: 8.075e-01 | test graph: 5.440e-01
6701 | 0.24s | train acc: 1.000e+00 | val acc: 8.199e-01 | val graph: 5.440e-01 | test node: 8.166e-01 | test graph: 5.590e-01
6801 | 0.26s | train acc: 1.000e+00 | val acc: 8.284e-01 | val graph: 5.720e-01 | test node: 8.207e-01 | test graph: 5.630e-01
6901 | 0.24s | train acc: 1.000e+00 | val acc: 8.133e-01 | val graph: 5.420e-01 | test node: 8.113e-01 | test graph: 5.470e-01
7001 | 0.24s | train acc: 1.000e+00 | val acc: 8.239e-01 | val graph: 5.600e-01 | test node: 8.185e-01 | test graph: 5.590e-01
7101 | 0.25s | train acc: 1.000e+00 | val acc: 8.199e-01 | val graph: 5.500e-01 | test node: 8.164e-01 | test graph: 5.590e-01
7201 | 0.26s | train acc: 1.000e+00 | val acc: 8.109e-01 | val graph: 5.380e-01 | test node: 8.113e-01 | test graph: 5.550e-01
7301 | 0.25s | train acc: 1.000e+00 | val acc: 8.088e-01 | val graph: 5.340e-01 | test node: 8.139e-01 | test graph: 5.520e-01
