Feb14-05:37:56
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=True load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
101 | 0.70s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.180e-01
201 | 0.58s | train acc: 1.000e+00 | val acc: 7.680e-01 | test acc: 8.160e-01
301 | 0.62s | train acc: 1.000e+00 | val acc: 7.700e-01 | test acc: 8.090e-01
401 | 0.59s | train acc: 1.000e+00 | val acc: 7.860e-01 | test acc: 8.120e-01
501 | 0.63s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.170e-01
601 | 0.67s | train acc: 1.000e+00 | val acc: 7.860e-01 | test acc: 8.140e-01
701 | 0.59s | train acc: 1.000e+00 | val acc: 7.840e-01 | test acc: 8.170e-01
801 | 0.63s | train acc: 1.000e+00 | val acc: 7.780e-01 | test acc: 8.210e-01
901 | 0.66s | train acc: 1.000e+00 | val acc: 7.820e-01 | test acc: 8.110e-01
1001 | 0.59s | train acc: 1.000e+00 | val acc: 7.820e-01 | test acc: 8.020e-01
1101 | 0.76s | train acc: 1.000e+00 | val acc: 7.880e-01 | test acc: 8.240e-01
1201 | 0.61s | train acc: 1.000e+00 | val acc: 7.740e-01 | test acc: 8.150e-01
1301 | 0.64s | train acc: 1.000e+00 | val acc: 7.900e-01 | test acc: 8.170e-01
1401 | 0.66s | train acc: 1.000e+00 | val acc: 7.900e-01 | test acc: 8.190e-01
1501 | 0.60s | train acc: 1.000e+00 | val acc: 7.660e-01 | test acc: 8.020e-01
1601 | 0.61s | train acc: 1.000e+00 | val acc: 7.700e-01 | test acc: 8.160e-01
1701 | 0.63s | train acc: 1.000e+00 | val acc: 7.720e-01 | test acc: 8.130e-01
1801 | 0.62s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.120e-01
1901 | 0.66s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.130e-01
2001 | 0.62s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.110e-01
2101 | 1.16s | train acc: 1.000e+00 | val acc: 7.860e-01 | test acc: 8.120e-01
2201 | 1.12s | train acc: 1.000e+00 | val acc: 7.880e-01 | test acc: 8.230e-01
2301 | 1.12s | train acc: 1.000e+00 | val acc: 7.800e-01 | test acc: 8.210e-01
2401 | 1.14s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.240e-01
2501 | 1.13s | train acc: 9.929e-01 | val acc: 7.740e-01 | test acc: 8.100e-01
2601 | 1.15s | train acc: 1.000e+00 | val acc: 7.780e-01 | test acc: 8.060e-01
2701 | 1.27s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.300e-01
2801 | 1.10s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.350e-01
2901 | 1.15s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.280e-01
3001 | 1.18s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.150e-01
3101 | 1.07s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.300e-01
3201 | 1.12s | train acc: 1.000e+00 | val acc: 7.900e-01 | test acc: 8.270e-01
3301 | 1.15s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.350e-01
3401 | 1.11s | train acc: 1.000e+00 | val acc: 7.900e-01 | test acc: 8.200e-01
3501 | 1.12s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.300e-01
3601 | 1.13s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.350e-01
3701 | 1.10s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.390e-01
3801 | 1.15s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.350e-01
3901 | 1.12s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.270e-01
4001 | 1.19s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.330e-01
4101 | 1.15s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.340e-01
4201 | 1.24s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.330e-01
4301 | 1.41s | train acc: 1.000e+00 | val acc: 8.200e-01 | test acc: 8.440e-01
4401 | 1.23s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.400e-01
4501 | 1.20s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.440e-01
4601 | 1.14s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.260e-01
4701 | 1.11s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.370e-01
4801 | 1.20s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.430e-01
4901 | 1.08s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.430e-01
5001 | 1.12s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.480e-01
5101 | 1.21s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.450e-01
5201 | 1.11s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.390e-01
5301 | 1.14s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.440e-01
5401 | 1.10s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.470e-01
5501 | 1.14s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.330e-01
5601 | 1.13s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.450e-01
5701 | 1.16s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.330e-01
5801 | 1.08s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.370e-01
5901 | 1.41s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.360e-01
6001 | 1.15s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.460e-01
6101 | 1.15s | train acc: 1.000e+00 | val acc: 8.240e-01 | test acc: 8.460e-01
6201 | 1.32s | train acc: 1.000e+00 | val acc: 7.920e-01 | test acc: 8.370e-01
6301 | 1.22s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.430e-01
6401 | 1.12s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.500e-01
6501 | 1.12s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.440e-01
6601 | 1.13s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.480e-01
6701 | 1.30s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.490e-01
6801 | 1.20s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.450e-01
6901 | 1.13s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.520e-01
7001 | 1.12s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.450e-01
7101 | 1.15s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.530e-01
7201 | 1.14s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.450e-01
7301 | 1.28s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.520e-01
7401 | 1.16s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.480e-01
7501 | 1.40s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.330e-01
7601 | 1.14s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.480e-01
7701 | 1.21s | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 8.410e-01
7801 | 1.18s | train acc: 1.000e+00 | val acc: 8.220e-01 | test acc: 8.400e-01
7901 | 1.11s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.490e-01
8001 | 1.05s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.520e-01
8101 | 1.11s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.400e-01
8201 | 1.09s | train acc: 1.000e+00 | val acc: 8.240e-01 | test acc: 8.490e-01
8301 | 1.11s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.490e-01
8401 | 1.12s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.360e-01
8501 | 1.11s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.450e-01
8601 | 1.10s | train acc: 1.000e+00 | val acc: 7.940e-01 | test acc: 8.270e-01
8701 | 1.09s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.470e-01
8801 | 1.18s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.450e-01
8901 | 1.10s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.460e-01
9001 | 1.13s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.410e-01
9101 | 1.38s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.470e-01
9201 | 1.11s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.440e-01
9301 | 1.19s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.430e-01
9401 | 1.23s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.410e-01
9501 | 1.19s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.420e-01
9601 | 1.10s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.380e-01
9701 | 1.14s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.450e-01
9801 | 1.17s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.380e-01
9901 | 1.13s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.500e-01
10001 | 1.16s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.410e-01
10101 | 1.13s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.440e-01
10201 | 1.11s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.380e-01
10301 | 1.11s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.440e-01
10401 | 1.07s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.440e-01
10501 | 1.09s | train acc: 1.000e+00 | val acc: 8.160e-01 | test acc: 8.360e-01
10601 | 1.14s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.390e-01
10701 | 1.10s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.400e-01
10801 | 1.08s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.410e-01
10901 | 1.18s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.450e-01
11001 | 1.11s | train acc: 1.000e+00 | val acc: 8.200e-01 | test acc: 8.440e-01
11101 | 1.10s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.400e-01
11201 | 1.20s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.440e-01
11301 | 1.08s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.440e-01
11401 | 1.12s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.430e-01
11501 | 1.14s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.410e-01
11601 | 1.21s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.400e-01
11701 | 1.10s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.450e-01
11801 | 1.15s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.450e-01
11901 | 1.05s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.370e-01
12001 | 1.12s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.380e-01
12101 | 1.15s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.430e-01
12201 | 1.42s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.460e-01
12301 | 1.19s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.360e-01
12401 | 1.08s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.340e-01
12501 | 1.15s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.410e-01
12601 | 1.15s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.460e-01
12701 | 1.18s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.440e-01
12801 | 1.11s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.450e-01
12901 | 1.19s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.390e-01
13001 | 1.05s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.430e-01
13101 | 1.08s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.460e-01
13201 | 1.24s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.300e-01
13301 | 1.09s | train acc: 1.000e+00 | val acc: 7.960e-01 | test acc: 8.270e-01
