Feb14-05:30:12
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=True load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
6401 | 1.17s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.390e-01
6501 | 1.08s | train acc: 1.000e+00 | val acc: 8.200e-01 | test acc: 8.390e-01
6601 | 1.09s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.360e-01
6701 | 1.09s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.410e-01
6801 | 1.12s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.370e-01
6901 | 1.18s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.430e-01
7001 | 1.12s | train acc: 1.000e+00 | val acc: 7.980e-01 | test acc: 8.340e-01
7101 | 1.41s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.490e-01
7201 | 1.08s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.370e-01
7301 | 1.20s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.440e-01
7401 | 1.29s | train acc: 1.000e+00 | val acc: 8.040e-01 | test acc: 8.410e-01
7501 | 1.23s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.460e-01
7601 | 1.28s | train acc: 1.000e+00 | val acc: 8.120e-01 | test acc: 8.480e-01
7701 | 1.16s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.470e-01
7801 | 1.09s | train acc: 1.000e+00 | val acc: 8.080e-01 | test acc: 8.430e-01
7901 | 1.15s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.440e-01
8001 | 1.13s | train acc: 1.000e+00 | val acc: 8.180e-01 | test acc: 8.470e-01
8101 | 1.07s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.400e-01
8201 | 1.14s | train acc: 1.000e+00 | val acc: 8.060e-01 | test acc: 8.420e-01
8301 | 1.14s | train acc: 1.000e+00 | val acc: 8.140e-01 | test acc: 8.400e-01
8401 | 1.26s | train acc: 1.000e+00 | val acc: 8.020e-01 | test acc: 8.360e-01
8501 | 1.14s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.400e-01
8601 | 1.10s | train acc: 1.000e+00 | val acc: 8.100e-01 | test acc: 8.430e-01
8701 | 1.11s | train acc: 1.000e+00 | val acc: 8.000e-01 | test acc: 8.360e-01
