Feb13-06:33:45
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=True
nhid=256 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 3.42s | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
101 | 1.29s | train acc: 7.609e-01 | val acc: 5.645e-01 | val graph: 1.560e-01 | test node: 5.696e-01 | test graph: 1.830e-01
201 | 1.30s | train acc: 9.242e-01 | val acc: 7.349e-01 | val graph: 4.180e-01 | test node: 7.239e-01 | test graph: 4.280e-01
301 | 1.30s | train acc: 9.512e-01 | val acc: 8.268e-01 | val graph: 5.640e-01 | test node: 8.162e-01 | test graph: 5.610e-01
401 | 1.35s | train acc: 9.846e-01 | val acc: 8.288e-01 | val graph: 5.520e-01 | test node: 8.247e-01 | test graph: 5.530e-01
501 | 1.30s | train acc: 9.473e-01 | val acc: 7.263e-01 | val graph: 4.020e-01 | test node: 7.095e-01 | test graph: 3.920e-01
601 | 1.30s | train acc: 9.949e-01 | val acc: 8.272e-01 | val graph: 5.500e-01 | test node: 8.283e-01 | test graph: 5.540e-01
701 | 1.30s | train acc: 9.987e-01 | val acc: 8.231e-01 | val graph: 5.540e-01 | test node: 8.205e-01 | test graph: 5.340e-01
801 | 1.32s | train acc: 1.000e+00 | val acc: 8.350e-01 | val graph: 5.640e-01 | test node: 8.349e-01 | test graph: 5.650e-01
901 | 1.30s | train acc: 1.000e+00 | val acc: 8.150e-01 | val graph: 5.180e-01 | test node: 8.018e-01 | test graph: 5.080e-01
1001 | 1.30s | train acc: 1.000e+00 | val acc: 8.268e-01 | val graph: 5.360e-01 | test node: 8.253e-01 | test graph: 5.340e-01
1101 | 1.34s | train acc: 1.000e+00 | val acc: 8.125e-01 | val graph: 5.120e-01 | test node: 8.052e-01 | test graph: 5.020e-01
1201 | 1.32s | train acc: 1.000e+00 | val acc: 8.211e-01 | val graph: 5.320e-01 | test node: 8.162e-01 | test graph: 5.200e-01
1301 | 1.30s | train acc: 1.000e+00 | val acc: 8.121e-01 | val graph: 5.020e-01 | test node: 8.107e-01 | test graph: 5.120e-01
1401 | 1.30s | train acc: 1.000e+00 | val acc: 8.047e-01 | val graph: 4.820e-01 | test node: 7.999e-01 | test graph: 4.950e-01
1501 | 1.31s | train acc: 1.000e+00 | val acc: 8.084e-01 | val graph: 4.940e-01 | test node: 8.018e-01 | test graph: 5.030e-01
1601 | 1.31s | train acc: 1.000e+00 | val acc: 8.002e-01 | val graph: 4.700e-01 | test node: 7.961e-01 | test graph: 4.940e-01
1701 | 1.30s | train acc: 1.000e+00 | val acc: 8.035e-01 | val graph: 4.680e-01 | test node: 7.994e-01 | test graph: 4.910e-01
1801 | 1.33s | train acc: 1.000e+00 | val acc: 7.978e-01 | val graph: 4.640e-01 | test node: 7.948e-01 | test graph: 4.830e-01
1901 | 1.31s | train acc: 1.000e+00 | val acc: 7.994e-01 | val graph: 4.660e-01 | test node: 7.910e-01 | test graph: 4.750e-01
2001 | 1.31s | train acc: 1.000e+00 | val acc: 7.945e-01 | val graph: 4.580e-01 | test node: 7.888e-01 | test graph: 4.740e-01
2101 | 1.31s | train acc: 1.000e+00 | val acc: 7.884e-01 | val graph: 4.480e-01 | test node: 7.812e-01 | test graph: 4.570e-01
2201 | 1.30s | train acc: 1.000e+00 | val acc: 7.888e-01 | val graph: 4.420e-01 | test node: 7.810e-01 | test graph: 4.630e-01
2301 | 1.31s | train acc: 1.000e+00 | val acc: 7.921e-01 | val graph: 4.440e-01 | test node: 7.829e-01 | test graph: 4.630e-01
2401 | 1.31s | train acc: 1.000e+00 | val acc: 7.839e-01 | val graph: 4.360e-01 | test node: 7.770e-01 | test graph: 4.570e-01
2501 | 1.35s | train acc: 1.000e+00 | val acc: 7.778e-01 | val graph: 4.260e-01 | test node: 7.744e-01 | test graph: 4.500e-01
2601 | 1.31s | train acc: 1.000e+00 | val acc: 7.839e-01 | val graph: 4.340e-01 | test node: 7.806e-01 | test graph: 4.600e-01
2701 | 1.31s | train acc: 1.000e+00 | val acc: 7.819e-01 | val graph: 4.300e-01 | test node: 7.772e-01 | test graph: 4.530e-01
2801 | 1.31s | train acc: 1.000e+00 | val acc: 7.753e-01 | val graph: 4.140e-01 | test node: 7.663e-01 | test graph: 4.410e-01
2901 | 1.31s | train acc: 1.000e+00 | val acc: 7.786e-01 | val graph: 4.240e-01 | test node: 7.733e-01 | test graph: 4.480e-01
3001 | 1.31s | train acc: 1.000e+00 | val acc: 7.766e-01 | val graph: 4.240e-01 | test node: 7.721e-01 | test graph: 4.480e-01
3101 | 1.31s | train acc: 1.000e+00 | val acc: 7.766e-01 | val graph: 4.240e-01 | test node: 7.706e-01 | test graph: 4.410e-01
3201 | 1.31s | train acc: 1.000e+00 | val acc: 7.708e-01 | val graph: 4.160e-01 | test node: 7.617e-01 | test graph: 4.330e-01
