Feb13-06:27:42
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=True
nhid=256 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 2.75s | train acc: 1.941e-01 | val acc: 2.508e-01 | val graph: 8.600e-02 | test node: 2.460e-01 | test graph: 7.800e-02
101 | 0.67s | train acc: 8.239e-01 | val acc: 6.262e-01 | val graph: 2.120e-01 | test node: 6.225e-01 | test graph: 2.120e-01
201 | 0.67s | train acc: 9.640e-01 | val acc: 8.076e-01 | val graph: 5.240e-01 | test node: 8.035e-01 | test graph: 5.310e-01
301 | 0.68s | train acc: 9.871e-01 | val acc: 8.207e-01 | val graph: 5.500e-01 | test node: 8.111e-01 | test graph: 5.400e-01
401 | 0.69s | train acc: 9.936e-01 | val acc: 8.358e-01 | val graph: 5.740e-01 | test node: 8.338e-01 | test graph: 5.740e-01
501 | 0.68s | train acc: 9.961e-01 | val acc: 8.382e-01 | val graph: 5.720e-01 | test node: 8.355e-01 | test graph: 5.660e-01
601 | 0.73s | train acc: 1.000e+00 | val acc: 8.223e-01 | val graph: 5.460e-01 | test node: 8.211e-01 | test graph: 5.300e-01
701 | 0.69s | train acc: 9.987e-01 | val acc: 8.219e-01 | val graph: 5.340e-01 | test node: 8.207e-01 | test graph: 5.410e-01
801 | 0.68s | train acc: 1.000e+00 | val acc: 8.100e-01 | val graph: 5.080e-01 | test node: 8.143e-01 | test graph: 5.200e-01
901 | 0.68s | train acc: 1.000e+00 | val acc: 8.219e-01 | val graph: 5.220e-01 | test node: 8.200e-01 | test graph: 5.290e-01
1001 | 0.69s | train acc: 1.000e+00 | val acc: 8.150e-01 | val graph: 5.160e-01 | test node: 8.137e-01 | test graph: 5.190e-01
1101 | 0.69s | train acc: 1.000e+00 | val acc: 8.092e-01 | val graph: 5.060e-01 | test node: 8.058e-01 | test graph: 5.030e-01
1201 | 0.68s | train acc: 1.000e+00 | val acc: 8.166e-01 | val graph: 5.060e-01 | test node: 8.092e-01 | test graph: 5.200e-01
1301 | 0.68s | train acc: 1.000e+00 | val acc: 8.043e-01 | val graph: 4.920e-01 | test node: 8.026e-01 | test graph: 4.960e-01
1401 | 0.68s | train acc: 1.000e+00 | val acc: 8.068e-01 | val graph: 4.840e-01 | test node: 8.016e-01 | test graph: 4.870e-01
1501 | 0.68s | train acc: 1.000e+00 | val acc: 8.031e-01 | val graph: 4.740e-01 | test node: 8.020e-01 | test graph: 4.970e-01
1601 | 0.68s | train acc: 1.000e+00 | val acc: 7.990e-01 | val graph: 4.640e-01 | test node: 7.944e-01 | test graph: 4.800e-01
1701 | 0.68s | train acc: 1.000e+00 | val acc: 7.949e-01 | val graph: 4.600e-01 | test node: 7.882e-01 | test graph: 4.660e-01
1801 | 0.70s | train acc: 1.000e+00 | val acc: 7.925e-01 | val graph: 4.580e-01 | test node: 7.854e-01 | test graph: 4.680e-01
1901 | 0.68s | train acc: 1.000e+00 | val acc: 7.990e-01 | val graph: 4.600e-01 | test node: 7.967e-01 | test graph: 4.870e-01
2001 | 0.69s | train acc: 1.000e+00 | val acc: 7.884e-01 | val graph: 4.480e-01 | test node: 7.818e-01 | test graph: 4.650e-01
2101 | 0.69s | train acc: 1.000e+00 | val acc: 7.921e-01 | val graph: 4.480e-01 | test node: 7.867e-01 | test graph: 4.700e-01
2201 | 0.68s | train acc: 1.000e+00 | val acc: 7.884e-01 | val graph: 4.480e-01 | test node: 7.816e-01 | test graph: 4.600e-01
2301 | 0.68s | train acc: 1.000e+00 | val acc: 7.888e-01 | val graph: 4.360e-01 | test node: 7.895e-01 | test graph: 4.700e-01
2401 | 0.68s | train acc: 1.000e+00 | val acc: 7.819e-01 | val graph: 4.320e-01 | test node: 7.742e-01 | test graph: 4.520e-01
2501 | 0.68s | train acc: 1.000e+00 | val acc: 7.872e-01 | val graph: 4.380e-01 | test node: 7.808e-01 | test graph: 4.610e-01
2601 | 0.70s | train acc: 1.000e+00 | val acc: 7.786e-01 | val graph: 4.220e-01 | test node: 7.791e-01 | test graph: 4.520e-01
2701 | 0.69s | train acc: 1.000e+00 | val acc: 7.827e-01 | val graph: 4.380e-01 | test node: 7.753e-01 | test graph: 4.580e-01
2801 | 0.68s | train acc: 1.000e+00 | val acc: 7.831e-01 | val graph: 4.340e-01 | test node: 7.787e-01 | test graph: 4.550e-01
2901 | 0.69s | train acc: 1.000e+00 | val acc: 7.778e-01 | val graph: 4.260e-01 | test node: 7.719e-01 | test graph: 4.470e-01
3001 | 0.68s | train acc: 1.000e+00 | val acc: 7.753e-01 | val graph: 4.180e-01 | test node: 7.712e-01 | test graph: 4.410e-01
3101 | 0.68s | train acc: 1.000e+00 | val acc: 7.737e-01 | val graph: 4.100e-01 | test node: 7.740e-01 | test graph: 4.440e-01
3201 | 0.69s | train acc: 1.000e+00 | val acc: 7.810e-01 | val graph: 4.260e-01 | test node: 7.744e-01 | test graph: 4.490e-01
