Feb13-06:30:03
----------------------------------------------------------------------------------------------------
[cora]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=True
nhid=256 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 3.38s | train acc: 1.645e-01 | val acc: 1.148e-01 | val graph: 3.000e-02 | test node: 9.083e-02 | test graph: 4.700e-02
101 | 1.41s | train acc: 5.733e-01 | val acc: 3.926e-01 | val graph: 1.400e-01 | test node: 3.773e-01 | test graph: 1.540e-01
201 | 1.35s | train acc: 8.920e-01 | val acc: 7.157e-01 | val graph: 4.180e-01 | test node: 7.241e-01 | test graph: 4.500e-01
301 | 1.35s | train acc: 9.743e-01 | val acc: 8.117e-01 | val graph: 5.260e-01 | test node: 8.037e-01 | test graph: 5.150e-01
401 | 1.35s | train acc: 9.820e-01 | val acc: 7.925e-01 | val graph: 4.720e-01 | test node: 7.876e-01 | test graph: 4.850e-01
501 | 1.36s | train acc: 9.794e-01 | val acc: 8.178e-01 | val graph: 5.340e-01 | test node: 8.202e-01 | test graph: 5.570e-01
601 | 1.35s | train acc: 9.871e-01 | val acc: 8.362e-01 | val graph: 5.740e-01 | test node: 8.304e-01 | test graph: 5.650e-01
701 | 1.35s | train acc: 9.961e-01 | val acc: 8.382e-01 | val graph: 5.760e-01 | test node: 8.364e-01 | test graph: 5.690e-01
801 | 1.35s | train acc: 9.974e-01 | val acc: 8.444e-01 | val graph: 5.900e-01 | test node: 8.425e-01 | test graph: 5.760e-01
901 | 1.35s | train acc: 9.987e-01 | val acc: 8.260e-01 | val graph: 5.500e-01 | test node: 8.228e-01 | test graph: 5.350e-01
1001 | 1.35s | train acc: 1.000e+00 | val acc: 8.256e-01 | val graph: 5.520e-01 | test node: 8.224e-01 | test graph: 5.340e-01
1101 | 1.35s | train acc: 1.000e+00 | val acc: 8.243e-01 | val graph: 5.360e-01 | test node: 8.207e-01 | test graph: 5.310e-01
1201 | 1.35s | train acc: 9.987e-01 | val acc: 8.166e-01 | val graph: 5.060e-01 | test node: 8.130e-01 | test graph: 5.210e-01
1301 | 1.36s | train acc: 1.000e+00 | val acc: 8.141e-01 | val graph: 5.160e-01 | test node: 8.101e-01 | test graph: 5.140e-01
1401 | 1.36s | train acc: 1.000e+00 | val acc: 8.141e-01 | val graph: 5.120e-01 | test node: 8.164e-01 | test graph: 5.160e-01
1501 | 1.35s | train acc: 1.000e+00 | val acc: 8.158e-01 | val graph: 5.120e-01 | test node: 8.101e-01 | test graph: 5.050e-01
1601 | 1.35s | train acc: 1.000e+00 | val acc: 8.011e-01 | val graph: 4.820e-01 | test node: 7.952e-01 | test graph: 4.890e-01
1701 | 1.35s | train acc: 1.000e+00 | val acc: 8.076e-01 | val graph: 4.840e-01 | test node: 8.028e-01 | test graph: 5.090e-01
1801 | 1.34s | train acc: 1.000e+00 | val acc: 7.982e-01 | val graph: 4.640e-01 | test node: 7.918e-01 | test graph: 4.840e-01
1901 | 1.35s | train acc: 1.000e+00 | val acc: 7.966e-01 | val graph: 4.620e-01 | test node: 7.886e-01 | test graph: 4.770e-01
2001 | 1.35s | train acc: 1.000e+00 | val acc: 7.868e-01 | val graph: 4.460e-01 | test node: 7.761e-01 | test graph: 4.520e-01
2101 | 1.35s | train acc: 1.000e+00 | val acc: 7.925e-01 | val graph: 4.520e-01 | test node: 7.852e-01 | test graph: 4.690e-01
2201 | 1.35s | train acc: 1.000e+00 | val acc: 7.876e-01 | val graph: 4.460e-01 | test node: 7.801e-01 | test graph: 4.650e-01
2301 | 1.35s | train acc: 1.000e+00 | val acc: 7.888e-01 | val graph: 4.400e-01 | test node: 7.806e-01 | test graph: 4.610e-01
2401 | 1.34s | train acc: 1.000e+00 | val acc: 7.839e-01 | val graph: 4.380e-01 | test node: 7.765e-01 | test graph: 4.560e-01
2501 | 1.36s | train acc: 1.000e+00 | val acc: 7.819e-01 | val graph: 4.300e-01 | test node: 7.770e-01 | test graph: 4.520e-01
2601 | 1.35s | train acc: 1.000e+00 | val acc: 7.835e-01 | val graph: 4.360e-01 | test node: 7.767e-01 | test graph: 4.550e-01
2701 | 1.34s | train acc: 1.000e+00 | val acc: 7.815e-01 | val graph: 4.320e-01 | test node: 7.755e-01 | test graph: 4.550e-01
2801 | 1.35s | train acc: 1.000e+00 | val acc: 7.815e-01 | val graph: 4.260e-01 | test node: 7.791e-01 | test graph: 4.580e-01
