Feb13-05:33:12
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0001 unweighted_MSE=False diffusion_steps=80 schedule=True weight_decay=0.0001 cat=False skip=False
nhid=256 layers=2 linears=2
----------------------------------------------------------------------------------------------------
8201 | 0.86s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
8401 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
8601 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
8801 | 0.83s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
9001 | 0.84s | train acc: 2.748e-01 | val acc: 2.722e-01 | val graph: 1.180e-01 | test node: 2.536e-01 | test graph: 9.300e-02
9201 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
9401 | 0.84s | train acc: 2.500e-01 | val acc: 2.643e-01 | val graph: 1.120e-01 | test node: 2.454e-01 | test graph: 9.000e-02
9601 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
9801 | 0.83s | train acc: 2.087e-01 | val acc: 2.082e-01 | val graph: 1.320e-01 | test node: 1.826e-01 | test graph: 1.050e-01
10001 | 0.83s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
10201 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
10401 | 0.85s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
10601 | 0.84s | train acc: 2.376e-01 | val acc: 2.622e-01 | val graph: 1.100e-01 | test node: 2.441e-01 | test graph: 8.900e-02
10801 | 0.84s | train acc: 2.417e-01 | val acc: 2.638e-01 | val graph: 1.120e-01 | test node: 2.441e-01 | test graph: 8.900e-02
