Feb14-05:37:04
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=1 schedule=True weight_decay=0.001  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
6401 | 2.13s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.180e-01
6501 | 1.99s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.170e-01
6601 | 1.99s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.120e-01
6701 | 2.14s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.180e-01
6801 | 2.04s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.140e-01
6901 | 2.01s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.180e-01
7001 | 2.02s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.150e-01
7101 | 2.02s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.130e-01
7201 | 2.13s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.120e-01
7301 | 2.08s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.160e-01
7401 | 2.05s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.150e-01
7501 | 1.98s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.200e-01
7601 | 2.10s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.180e-01
7701 | 1.99s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.160e-01
7801 | 2.10s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.180e-01
7901 | 1.99s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.210e-01
8001 | 2.05s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.200e-01
8101 | 2.03s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.210e-01
8201 | 2.00s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.180e-01
8301 | 2.05s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.200e-01
8401 | 1.98s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.180e-01
8501 | 2.15s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.160e-01
8601 | 1.99s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.190e-01
8701 | 2.05s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.230e-01
8801 | 2.03s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.210e-01
8901 | 2.13s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.210e-01
9001 | 2.01s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.210e-01
9101 | 2.10s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.180e-01
9201 | 2.01s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.220e-01
9301 | 2.03s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.190e-01
9401 | 2.11s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.200e-01
9501 | 2.11s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.220e-01
9601 | 2.09s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.210e-01
9701 | 2.14s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.250e-01
9801 | 2.07s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.210e-01
9901 | 2.06s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.210e-01
10001 | 2.04s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.220e-01
10101 | 2.14s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.230e-01
10201 | 2.06s | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.200e-01
10301 | 1.99s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.180e-01
10401 | 2.01s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.210e-01
10501 | 2.03s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.140e-01
10601 | 2.04s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.190e-01
10701 | 2.01s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.130e-01
10801 | 2.02s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.230e-01
10901 | 2.00s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.190e-01
11001 | 1.99s | train acc: 1.000e+00 | val acc: 8.460e-01 | test acc: 8.190e-01
11101 | 2.03s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.180e-01
11201 | 1.99s | train acc: 1.000e+00 | val acc: 8.440e-01 | test acc: 8.200e-01
11301 | 2.02s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.170e-01
11401 | 2.01s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.190e-01
11501 | 2.02s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.170e-01
11601 | 2.02s | train acc: 1.000e+00 | val acc: 8.380e-01 | test acc: 8.190e-01
11701 | 1.99s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.200e-01
11801 | 2.02s | train acc: 1.000e+00 | val acc: 8.400e-01 | test acc: 8.190e-01
11901 | 2.02s | train acc: 1.000e+00 | val acc: 8.420e-01 | test acc: 8.180e-01
