Feb14-04:04:31
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=True diffusion_steps=80 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
4101 | 0.45s | train acc: 1.000e+00 | val acc: 7.954e-01 | val graph: 4.920e-01 | test node: 7.647e-01 | test graph: 4.570e-01
4201 | 0.45s | train acc: 1.000e+00 | val acc: 7.943e-01 | val graph: 5.020e-01 | test node: 7.537e-01 | test graph: 4.560e-01
4301 | 0.45s | train acc: 1.000e+00 | val acc: 7.969e-01 | val graph: 4.860e-01 | test node: 7.594e-01 | test graph: 4.490e-01
4401 | 0.45s | train acc: 1.000e+00 | val acc: 7.921e-01 | val graph: 4.840e-01 | test node: 7.594e-01 | test graph: 4.500e-01
4501 | 0.45s | train acc: 1.000e+00 | val acc: 7.939e-01 | val graph: 4.860e-01 | test node: 7.596e-01 | test graph: 4.360e-01
4601 | 0.44s | train acc: 1.000e+00 | val acc: 7.936e-01 | val graph: 4.860e-01 | test node: 7.619e-01 | test graph: 4.440e-01
4701 | 0.46s | train acc: 1.000e+00 | val acc: 7.902e-01 | val graph: 4.740e-01 | test node: 7.569e-01 | test graph: 4.380e-01
4801 | 0.46s | train acc: 1.000e+00 | val acc: 7.932e-01 | val graph: 4.880e-01 | test node: 7.572e-01 | test graph: 4.380e-01
4901 | 0.45s | train acc: 1.000e+00 | val acc: 7.899e-01 | val graph: 4.800e-01 | test node: 7.553e-01 | test graph: 4.400e-01
5001 | 0.45s | train acc: 1.000e+00 | val acc: 7.913e-01 | val graph: 4.680e-01 | test node: 7.635e-01 | test graph: 4.550e-01
5101 | 0.44s | train acc: 1.000e+00 | val acc: 7.884e-01 | val graph: 4.760e-01 | test node: 7.549e-01 | test graph: 4.360e-01
5201 | 0.44s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.780e-01 | test node: 7.560e-01 | test graph: 4.520e-01
5301 | 0.45s | train acc: 1.000e+00 | val acc: 7.965e-01 | val graph: 4.840e-01 | test node: 7.612e-01 | test graph: 4.530e-01
5401 | 0.45s | train acc: 1.000e+00 | val acc: 7.969e-01 | val graph: 4.840e-01 | test node: 7.578e-01 | test graph: 4.390e-01
5501 | 0.45s | train acc: 1.000e+00 | val acc: 7.880e-01 | val graph: 4.720e-01 | test node: 7.562e-01 | test graph: 4.410e-01
5601 | 0.45s | train acc: 1.000e+00 | val acc: 7.854e-01 | val graph: 4.680e-01 | test node: 7.535e-01 | test graph: 4.410e-01
5701 | 0.46s | train acc: 1.000e+00 | val acc: 7.862e-01 | val graph: 4.700e-01 | test node: 7.533e-01 | test graph: 4.380e-01
5801 | 0.45s | train acc: 1.000e+00 | val acc: 7.869e-01 | val graph: 4.700e-01 | test node: 7.508e-01 | test graph: 4.310e-01
5901 | 0.44s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.820e-01 | test node: 7.597e-01 | test graph: 4.400e-01
6001 | 0.45s | train acc: 1.000e+00 | val acc: 7.939e-01 | val graph: 4.900e-01 | test node: 7.612e-01 | test graph: 4.410e-01
6101 | 0.45s | train acc: 1.000e+00 | val acc: 7.910e-01 | val graph: 4.680e-01 | test node: 7.553e-01 | test graph: 4.400e-01
6201 | 0.44s | train acc: 1.000e+00 | val acc: 7.869e-01 | val graph: 4.740e-01 | test node: 7.670e-01 | test graph: 4.660e-01
6301 | 0.45s | train acc: 1.000e+00 | val acc: 7.973e-01 | val graph: 4.820e-01 | test node: 7.610e-01 | test graph: 4.510e-01
6401 | 0.45s | train acc: 1.000e+00 | val acc: 7.917e-01 | val graph: 4.720e-01 | test node: 7.567e-01 | test graph: 4.350e-01
