Feb14-04:11:11
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=True diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 0.88s | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
101 | 0.23s | train acc: 8.263e-01 | val acc: 7.573e-01 | val graph: 5.180e-01 | test node: 7.196e-01 | test graph: 4.650e-01
201 | 0.24s | train acc: 8.880e-01 | val acc: 7.932e-01 | val graph: 5.420e-01 | test node: 7.684e-01 | test graph: 5.200e-01
301 | 0.24s | train acc: 9.944e-01 | val acc: 7.795e-01 | val graph: 4.700e-01 | test node: 7.606e-01 | test graph: 4.550e-01
401 | 0.23s | train acc: 1.000e+00 | val acc: 7.843e-01 | val graph: 4.920e-01 | test node: 7.578e-01 | test graph: 4.560e-01
501 | 0.24s | train acc: 1.000e+00 | val acc: 7.869e-01 | val graph: 4.920e-01 | test node: 7.606e-01 | test graph: 4.630e-01
601 | 0.24s | train acc: 1.000e+00 | val acc: 7.865e-01 | val graph: 4.820e-01 | test node: 7.594e-01 | test graph: 4.530e-01
701 | 0.24s | train acc: 1.000e+00 | val acc: 7.906e-01 | val graph: 4.820e-01 | test node: 7.631e-01 | test graph: 4.640e-01
801 | 0.24s | train acc: 1.000e+00 | val acc: 7.899e-01 | val graph: 4.920e-01 | test node: 7.523e-01 | test graph: 4.540e-01
901 | 0.24s | train acc: 1.000e+00 | val acc: 7.921e-01 | val graph: 4.800e-01 | test node: 7.599e-01 | test graph: 4.540e-01
1001 | 0.24s | train acc: 1.000e+00 | val acc: 7.902e-01 | val graph: 4.900e-01 | test node: 7.544e-01 | test graph: 4.490e-01
1101 | 0.24s | train acc: 1.000e+00 | val acc: 7.921e-01 | val graph: 4.880e-01 | test node: 7.580e-01 | test graph: 4.490e-01
1201 | 0.24s | train acc: 1.000e+00 | val acc: 7.925e-01 | val graph: 4.840e-01 | test node: 7.624e-01 | test graph: 4.480e-01
