Feb14-04:12:11
----------------------------------------------------------------------------------------------------
[pubmed]   seed=22
----------------------------------------------------------------------------------------------------
lr=0.0005 unweighted_MSE=False diffusion_steps=40 schedule=True weight_decay=0.001 cat=False skip=False
nhid=64 layers=4 linears=2
----------------------------------------------------------------------------------------------------
001 | 0.88s | train acc: 3.249e-01 | val acc: 1.998e-01 | val graph: 1.140e-01 | test node: 1.710e-01 | test graph: 8.000e-02
101 | 0.23s | train acc: 3.277e-01 | val acc: 1.957e-01 | val graph: 1.220e-01 | test node: 1.809e-01 | test graph: 8.700e-02
201 | 0.24s | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
301 | 0.23s | train acc: 4.790e-01 | val acc: 4.580e-01 | val graph: 3.060e-01 | test node: 4.489e-01 | test graph: 2.730e-01
401 | 0.23s | train acc: 3.389e-01 | val acc: 3.814e-01 | val graph: 2.720e-01 | test node: 3.983e-01 | test graph: 2.880e-01
501 | 0.23s | train acc: 7.871e-01 | val acc: 6.574e-01 | val graph: 4.460e-01 | test node: 6.277e-01 | test graph: 4.150e-01
601 | 0.23s | train acc: 8.123e-01 | val acc: 7.440e-01 | val graph: 5.140e-01 | test node: 7.098e-01 | test graph: 4.750e-01
701 | 0.23s | train acc: 8.123e-01 | val acc: 7.629e-01 | val graph: 5.300e-01 | test node: 7.215e-01 | test graph: 4.850e-01
801 | 0.23s | train acc: 8.123e-01 | val acc: 7.714e-01 | val graph: 5.500e-01 | test node: 7.016e-01 | test graph: 5.120e-01
901 | 0.23s | train acc: 8.123e-01 | val acc: 7.525e-01 | val graph: 5.200e-01 | test node: 7.050e-01 | test graph: 4.790e-01
1001 | 0.24s | train acc: 8.123e-01 | val acc: 7.758e-01 | val graph: 5.480e-01 | test node: 7.043e-01 | test graph: 5.040e-01
1101 | 0.24s | train acc: 8.123e-01 | val acc: 7.673e-01 | val graph: 5.440e-01 | test node: 7.178e-01 | test graph: 5.040e-01
1201 | 0.23s | train acc: 8.123e-01 | val acc: 7.629e-01 | val graph: 5.320e-01 | test node: 7.176e-01 | test graph: 4.890e-01
1301 | 0.23s | train acc: 8.179e-01 | val acc: 7.758e-01 | val graph: 5.560e-01 | test node: 7.558e-01 | test graph: 5.190e-01
1401 | 0.24s | train acc: 8.347e-01 | val acc: 7.725e-01 | val graph: 5.520e-01 | test node: 7.532e-01 | test graph: 5.140e-01
1501 | 0.24s | train acc: 8.880e-01 | val acc: 7.965e-01 | val graph: 5.740e-01 | test node: 7.697e-01 | test graph: 5.250e-01
1601 | 0.24s | train acc: 9.244e-01 | val acc: 7.987e-01 | val graph: 5.640e-01 | test node: 7.800e-01 | test graph: 5.180e-01
1701 | 0.23s | train acc: 9.468e-01 | val acc: 7.947e-01 | val graph: 5.540e-01 | test node: 7.654e-01 | test graph: 5.130e-01
1801 | 0.24s | train acc: 9.776e-01 | val acc: 8.143e-01 | val graph: 5.560e-01 | test node: 7.915e-01 | test graph: 5.160e-01
1901 | 0.23s | train acc: 9.888e-01 | val acc: 8.036e-01 | val graph: 5.320e-01 | test node: 7.894e-01 | test graph: 5.040e-01
2001 | 0.23s | train acc: 9.972e-01 | val acc: 8.069e-01 | val graph: 5.320e-01 | test node: 7.891e-01 | test graph: 5.020e-01
2101 | 0.23s | train acc: 9.972e-01 | val acc: 8.028e-01 | val graph: 5.280e-01 | test node: 7.770e-01 | test graph: 4.940e-01
2201 | 0.23s | train acc: 1.000e+00 | val acc: 8.061e-01 | val graph: 5.280e-01 | test node: 7.805e-01 | test graph: 4.870e-01
2301 | 0.22s | train acc: 1.000e+00 | val acc: 8.047e-01 | val graph: 5.200e-01 | test node: 7.841e-01 | test graph: 4.990e-01
2401 | 0.24s | train acc: 1.000e+00 | val acc: 8.017e-01 | val graph: 4.980e-01 | test node: 7.812e-01 | test graph: 4.840e-01
2501 | 0.24s | train acc: 1.000e+00 | val acc: 7.995e-01 | val graph: 5.040e-01 | test node: 7.795e-01 | test graph: 4.770e-01
2601 | 0.23s | train acc: 1.000e+00 | val acc: 7.980e-01 | val graph: 4.980e-01 | test node: 7.748e-01 | test graph: 4.630e-01
2701 | 0.23s | train acc: 1.000e+00 | val acc: 7.999e-01 | val graph: 4.880e-01 | test node: 7.789e-01 | test graph: 4.800e-01
2801 | 0.23s | train acc: 1.000e+00 | val acc: 8.017e-01 | val graph: 4.900e-01 | test node: 7.803e-01 | test graph: 4.810e-01
2901 | 0.23s | train acc: 1.000e+00 | val acc: 7.958e-01 | val graph: 4.900e-01 | test node: 7.768e-01 | test graph: 4.780e-01
3001 | 0.23s | train acc: 1.000e+00 | val acc: 8.010e-01 | val graph: 5.040e-01 | test node: 7.866e-01 | test graph: 4.880e-01
3101 | 0.22s | train acc: 1.000e+00 | val acc: 8.013e-01 | val graph: 4.960e-01 | test node: 7.786e-01 | test graph: 4.810e-01
3201 | 0.23s | train acc: 1.000e+00 | val acc: 8.010e-01 | val graph: 4.900e-01 | test node: 7.741e-01 | test graph: 4.680e-01
