Feb14-06:24:00
----------------------------------------------------------------------------------------------------
[Texas]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=1000
nhid=8 layers=1 linears=1
----------------------------------------------------------------------------------------------------
051 | 0.49s | train acc: 7.816e-01 | val acc: 4.746e-01 | test acc: 4.595e-01
101 | 0.51s | train acc: 9.080e-01 | val acc: 5.932e-01 | test acc: 6.757e-01
151 | 0.52s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
201 | 0.43s | train acc: 9.310e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
251 | 0.37s | train acc: 9.310e-01 | val acc: 5.932e-01 | test acc: 5.135e-01
301 | 0.39s | train acc: 9.425e-01 | val acc: 6.102e-01 | test acc: 5.676e-01
351 | 0.39s | train acc: 9.310e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
401 | 0.36s | train acc: 8.966e-01 | val acc: 5.763e-01 | test acc: 5.946e-01
451 | 0.35s | train acc: 9.425e-01 | val acc: 5.593e-01 | test acc: 6.216e-01
501 | 0.39s | train acc: 9.310e-01 | val acc: 5.932e-01 | test acc: 5.946e-01
551 | 0.38s | train acc: 8.966e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
601 | 0.37s | train acc: 9.540e-01 | val acc: 6.102e-01 | test acc: 5.946e-01
651 | 0.35s | train acc: 9.540e-01 | val acc: 5.932e-01 | test acc: 5.946e-01
701 | 0.35s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 5.946e-01
751 | 0.35s | train acc: 9.425e-01 | val acc: 5.932e-01 | test acc: 6.216e-01
801 | 0.41s | train acc: 9.425e-01 | val acc: 5.593e-01 | test acc: 6.216e-01
851 | 0.41s | train acc: 9.080e-01 | val acc: 5.932e-01 | test acc: 6.216e-01
901 | 0.40s | train acc: 9.310e-01 | val acc: 5.932e-01 | test acc: 5.946e-01
951 | 0.45s | train acc: 9.425e-01 | val acc: 5.932e-01 | test acc: 6.216e-01
1001 | 0.37s | train acc: 9.310e-01 | val acc: 5.424e-01 | test acc: 4.865e-01
1051 | 0.63s | train acc: 9.080e-01 | val acc: 6.441e-01 | test acc: 6.486e-01
1101 | 0.64s | train acc: 9.425e-01 | val acc: 5.593e-01 | test acc: 5.946e-01
1151 | 0.69s | train acc: 9.310e-01 | val acc: 5.932e-01 | test acc: 6.216e-01
1201 | 0.64s | train acc: 9.080e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
1251 | 0.67s | train acc: 9.425e-01 | val acc: 6.102e-01 | test acc: 6.216e-01
1301 | 0.70s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 7.027e-01
1351 | 0.65s | train acc: 9.195e-01 | val acc: 5.932e-01 | test acc: 6.216e-01
1401 | 0.64s | train acc: 9.425e-01 | val acc: 5.593e-01 | test acc: 5.946e-01
1451 | 0.71s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
1501 | 0.64s | train acc: 9.540e-01 | val acc: 5.593e-01 | test acc: 6.216e-01
1551 | 0.64s | train acc: 9.540e-01 | val acc: 5.593e-01 | test acc: 6.757e-01
1601 | 0.72s | train acc: 9.080e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
1651 | 0.64s | train acc: 9.540e-01 | val acc: 6.102e-01 | test acc: 6.486e-01
1701 | 0.69s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
1751 | 0.63s | train acc: 9.540e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
1801 | 0.69s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
1851 | 0.67s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
1901 | 0.61s | train acc: 9.310e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
1951 | 0.68s | train acc: 9.080e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
2001 | 0.67s | train acc: 9.195e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
2051 | 0.66s | train acc: 9.425e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
2101 | 0.70s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2151 | 0.66s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2201 | 0.61s | train acc: 9.195e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
2251 | 0.65s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2301 | 0.65s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.216e-01
2351 | 0.87s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2401 | 0.87s | train acc: 9.540e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
2451 | 0.60s | train acc: 9.770e-01 | val acc: 5.763e-01 | test acc: 6.216e-01
2501 | 0.66s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2551 | 0.67s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2601 | 0.66s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2651 | 0.66s | train acc: 9.310e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
2701 | 0.70s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2751 | 0.64s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2801 | 0.64s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2851 | 0.66s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2901 | 0.71s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
2951 | 0.64s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3001 | 0.63s | train acc: 9.655e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3051 | 0.77s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3101 | 0.64s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3151 | 0.69s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3201 | 0.65s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3251 | 0.64s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3301 | 0.69s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3351 | 0.62s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3401 | 0.71s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3451 | 0.68s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3501 | 0.62s | train acc: 9.080e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3551 | 0.70s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3601 | 0.77s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3651 | 0.68s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3701 | 0.69s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3751 | 0.70s | train acc: 9.655e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3801 | 0.64s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3851 | 0.69s | train acc: 9.770e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3901 | 0.69s | train acc: 9.655e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
3951 | 0.63s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4001 | 0.71s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4051 | 0.68s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4101 | 0.69s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4151 | 0.66s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4201 | 0.64s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4251 | 0.64s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4301 | 0.64s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4351 | 0.62s | train acc: 9.655e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4401 | 0.71s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4451 | 0.84s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4501 | 0.81s | train acc: 9.195e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4551 | 0.64s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
4601 | 0.62s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
4651 | 0.68s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4701 | 0.65s | train acc: 9.540e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
4751 | 0.64s | train acc: 9.425e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
4801 | 0.67s | train acc: 9.540e-01 | val acc: 5.593e-01 | test acc: 6.486e-01
4851 | 0.70s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
4901 | 0.63s | train acc: 9.080e-01 | val acc: 5.763e-01 | test acc: 6.757e-01
4951 | 0.62s | train acc: 9.310e-01 | val acc: 5.763e-01 | test acc: 6.486e-01
