Feb14-05:12:25
----------------------------------------------------------------------------------------------------
[citeseer]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
101 | 0.76s | train acc: 9.667e-01 | val acc: 7.200e-01 | test acc: 7.180e-01
201 | 0.80s | train acc: 9.833e-01 | val acc: 7.200e-01 | test acc: 7.180e-01
301 | 0.81s | train acc: 9.833e-01 | val acc: 7.100e-01 | test acc: 7.210e-01
401 | 0.72s | train acc: 9.667e-01 | val acc: 7.280e-01 | test acc: 7.270e-01
501 | 0.90s | train acc: 9.833e-01 | val acc: 7.260e-01 | test acc: 7.220e-01
601 | 0.76s | train acc: 9.750e-01 | val acc: 7.340e-01 | test acc: 7.200e-01
701 | 0.75s | train acc: 9.667e-01 | val acc: 7.200e-01 | test acc: 7.200e-01
801 | 0.76s | train acc: 9.917e-01 | val acc: 7.080e-01 | test acc: 7.020e-01
901 | 0.86s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.190e-01
1001 | 0.93s | train acc: 9.750e-01 | val acc: 7.320e-01 | test acc: 7.300e-01
1101 | 0.79s | train acc: 9.833e-01 | val acc: 7.220e-01 | test acc: 7.160e-01
1201 | 0.73s | train acc: 9.833e-01 | val acc: 7.140e-01 | test acc: 7.160e-01
1301 | 0.77s | train acc: 9.750e-01 | val acc: 7.320e-01 | test acc: 7.290e-01
1401 | 0.76s | train acc: 9.750e-01 | val acc: 7.280e-01 | test acc: 7.190e-01
1501 | 0.77s | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.340e-01
1601 | 0.80s | train acc: 9.833e-01 | val acc: 7.240e-01 | test acc: 7.110e-01
1701 | 0.76s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.260e-01
1801 | 0.75s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.340e-01
1901 | 0.77s | train acc: 9.667e-01 | val acc: 7.200e-01 | test acc: 7.150e-01
2001 | 0.81s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.270e-01
2101 | 1.53s | train acc: 9.667e-01 | val acc: 7.360e-01 | test acc: 7.220e-01
2201 | 1.67s | train acc: 9.750e-01 | val acc: 7.180e-01 | test acc: 7.110e-01
2301 | 1.60s | train acc: 9.750e-01 | val acc: 7.240e-01 | test acc: 7.280e-01
2401 | 1.62s | train acc: 9.750e-01 | val acc: 7.320e-01 | test acc: 7.280e-01
2501 | 1.56s | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.210e-01
2601 | 1.60s | train acc: 9.667e-01 | val acc: 7.520e-01 | test acc: 7.440e-01
2701 | 1.57s | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.300e-01
2801 | 1.60s | train acc: 9.750e-01 | val acc: 7.440e-01 | test acc: 7.350e-01
2901 | 1.61s | train acc: 9.750e-01 | val acc: 7.520e-01 | test acc: 7.340e-01
3001 | 1.63s | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.330e-01
3101 | 1.60s | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.490e-01
3201 | 1.61s | train acc: 9.583e-01 | val acc: 7.400e-01 | test acc: 7.420e-01
3301 | 1.58s | train acc: 9.750e-01 | val acc: 7.280e-01 | test acc: 7.370e-01
3401 | 1.47s | train acc: 9.833e-01 | val acc: 7.460e-01 | test acc: 7.490e-01
3501 | 1.47s | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.390e-01
3601 | 1.53s | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.400e-01
3701 | 1.49s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.390e-01
3801 | 1.48s | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.410e-01
3901 | 1.45s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.500e-01
4001 | 1.48s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.480e-01
4101 | 1.55s | train acc: 9.583e-01 | val acc: 7.300e-01 | test acc: 7.420e-01
4201 | 1.51s | train acc: 9.750e-01 | val acc: 7.480e-01 | test acc: 7.450e-01
4301 | 1.67s | train acc: 9.667e-01 | val acc: 7.280e-01 | test acc: 7.430e-01
4401 | 1.55s | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.380e-01
4501 | 1.49s | train acc: 9.667e-01 | val acc: 7.360e-01 | test acc: 7.420e-01
