Feb14-05:10:39
----------------------------------------------------------------------------------------------------
[citeseer]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
6401 | 1.67s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.510e-01
6501 | 1.64s | train acc: 9.833e-01 | val acc: 7.460e-01 | test acc: 7.530e-01
6601 | 1.58s | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.490e-01
6701 | 1.67s | train acc: 9.750e-01 | val acc: 7.440e-01 | test acc: 7.510e-01
6801 | 1.61s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.450e-01
6901 | 1.57s | train acc: 9.583e-01 | val acc: 7.380e-01 | test acc: 7.540e-01
7001 | 1.67s | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.540e-01
7101 | 1.58s | train acc: 9.667e-01 | val acc: 7.420e-01 | test acc: 7.510e-01
7201 | 1.61s | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.560e-01
7301 | 1.64s | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.480e-01
7401 | 1.61s | train acc: 9.667e-01 | val acc: 7.420e-01 | test acc: 7.510e-01
7501 | 1.66s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.520e-01
7601 | 1.58s | train acc: 9.750e-01 | val acc: 7.440e-01 | test acc: 7.430e-01
7701 | 1.85s | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.490e-01
7801 | 1.60s | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.530e-01
7901 | 1.65s | train acc: 9.833e-01 | val acc: 7.340e-01 | test acc: 7.550e-01
8001 | 1.66s | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.480e-01
8101 | 1.66s | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.530e-01
8201 | 1.61s | train acc: 9.667e-01 | val acc: 7.340e-01 | test acc: 7.520e-01
8301 | 1.59s | train acc: 9.583e-01 | val acc: 7.360e-01 | test acc: 7.370e-01
8401 | 1.76s | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.460e-01
8501 | 1.58s | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.490e-01
8601 | 1.59s | train acc: 9.750e-01 | val acc: 7.340e-01 | test acc: 7.500e-01
8701 | 1.47s | train acc: 9.750e-01 | val acc: 7.340e-01 | test acc: 7.490e-01
