Feb14-06:24:01
----------------------------------------------------------------------------------------------------
[Cornell]   seed=0
----------------------------------------------------------------------------------------------------
lr=0.001 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=1000
nhid=8 layers=1 linears=1
----------------------------------------------------------------------------------------------------
3251 | 0.62s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3301 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3351 | 0.65s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3401 | 0.75s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3451 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3501 | 0.74s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3551 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3601 | 0.62s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3651 | 0.70s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3701 | 0.72s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3751 | 0.66s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3801 | 0.76s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3851 | 0.66s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3901 | 0.66s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
3951 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4001 | 0.69s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4051 | 0.68s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4101 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4151 | 0.65s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4201 | 0.70s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4251 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4301 | 0.66s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4351 | 0.63s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4401 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4451 | 0.88s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4501 | 0.85s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4551 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4601 | 0.69s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4651 | 0.70s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4701 | 0.76s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4751 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4801 | 0.71s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4851 | 0.68s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4901 | 0.66s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
4951 | 0.64s | train acc: 9.885e-01 | val acc: 6.271e-01 | test acc: 5.676e-01
